2021/02/27 10:02:10 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1099, 858, 0)
2021/02/27 10:02:10 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1099, 859, 0)
2021/02/27 10:02:10 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1099, 860, 0)
2021/02/27 10:02:11 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1100, 861, 0)
2021/02/27 10:02:11 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1100, 862, 0)
2021/02/27 10:02:11 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1100, 863, 0)
2021/02/27 10:02:11 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1101, 864, 0)
2021/02/27 10:02:11 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1101, 865, 0)
2021/02/27 10:02:11 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1101, 866, 0)
2021/02/27 10:02:11 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1102, 867, 0)
2021/02/27 10:02:11 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1102, 868, 0)
2021/02/27 10:02:11 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1102, 869, 0)
2021/02/27 10:02:11 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1103, 870, 0)
2021/02/27 10:02:11 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1103, 871, 0)
2021/02/27 10:02:11 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1103, 872, 0)
2021/02/27 10:16:45 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1086, 873, 0)
2021/02/27 10:16:45 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1086, 874, 0)
2021/02/27 10:16:45 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1086, 875, 0)
2021/02/27 10:16:45 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1088, 876, 0)
2021/02/27 10:16:45 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1088, 877, 0)
2021/02/27 10:16:45 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1088, 878, 0)
2021/02/27 10:16:45 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1089, 879, 0)
2021/02/27 10:16:45 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1089, 880, 0)
2021/02/27 10:16:45 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1089, 881, 0)
2021/02/27 10:16:46 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1093, 882, 0)
2021/02/27 10:21:51 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1086, 883, 0)
2021/02/27 10:21:51 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1086, 884, 0)
2021/02/27 10:21:51 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1086, 885, 0)
2021/02/27 10:21:51 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1088, 886, 0)
2021/02/27 10:21:51 : Query : INSERT INTO `_DBPRF_term_relationships` (`object_id`, `term_taxonomy_id`, `term_order`) VALUES (1088, 887, 0)
